구,소방서별(2),구급 출동건수,이송건수 (건),이송인원 (명),구급환자유형별 (명)
종로구,종로소방서,19269,9297,9303,9303
중구,중부소방서,18974,9658,9665,9665
광진구,광진소방서,19587,11251,11251,11251
용산구,용산소방서,17777,8465,8465,8465
동대문구,동대문소방서,23324,12926,12928,12928
영등포구,영등포소방서,31208,14700,14707,14707
성북구,성북소방서,21519,12142,12148,12148
은평구,은평소방서,25670,15264,15272,15272
강남구,강남소방서,38825,18706,18717,18717
서초구,서초소방서,28974,15051,15056,15056
강서구,강서소방서,29573,15813,15818,15818
강동구,강동소방서,27173,15193,15199,15199
마포구,마포소방서,30807,15898,15899,15899
도봉구,도봉소방서,18994,11260,11282,11282
구로구,구로소방서,30836,17085,17100,17100
노원구,노원소방서,27099,16032,16035,16035
관악구,관악소방서,30277,17090,17100,17100
송파구,송파소방서,33466,17917,17931,17931
양천구,양천소방서,28134,15949,15953,15953
중랑구,중랑소방서,22910,14236,14244,14244
동작구,동작소방서,19177,10644,10649,10649
서대문구,서대문소방서,22186,12712,12720,12720
강북구,강북소방서,24292,14086,14094,14094
성동구,성동소방서,17172,9349,9360,9360
금천구,금천소방서,13432,6993,6999,6999
