구,인구,119안전센터(개소),119안전센터 1개소당 담당인구
종로구,141379,6,23563
중구,120437,5,24087
용산구,218650,5,43730
성동구,281000,4,70250
광진구,337416,3,112472
동대문구,336644,5,67329
중랑구,385318,4,96330
성북구,430397,4,107599
강북구,293660,4,73415
도봉구,311694,4,77924
노원구,503734,5,100747
은평구,466746,4,116687
서대문구,306337,4,76584
마포구,364638,6,60773
양천구,440881,5,88176
강서구,569166,6,94861
구로구,395315,6,65886
금천구,229642,2,114821
영등포구,375675,5,75135
동작구,380596,4,95149
관악구,486752,4,121688
서초구,404325,6,67388
강남구,529102,6,88184
송파구,658801,6,109800
강동구,460067,6,76678
