측정소명,측정소코드,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
중구,111121,0.015,0.028,0.031,0.044,0.049,0.035,0.038,0.031,0.033,0.023,0.019,0.02,0.03
종로구,111123,0.017,0.028,0.03,0.044,0.05,0.036,0.04,0.033,0.033,0.025,0.018,0.015,0.031
중랑구,111151,0.016,0.027,0.029,0.043,0.049,0.037,0.039,0.032,0.035,0.026,0.021,0.016,0.031
동대문구,111152,0.017,0.029,0.029,0.045,0.053,0.039,0.042,0.027,0.035,0.025,0.018,0.016,0.032
은평구,111181,0.016,0.026,0.031,0.044,0.048,0.035,0.032,0.028,0.032,0.025,0.021,0.017,0.03
마포구,111201,0.015,0.023,0.028,0.041,0.049,0.036,0.039,0.032,0.032,0.022,0.017,0.014,0.029
영등포구,111231,0.014,0.023,0.025,0.04,0.047,0.034,0.036,0.03,0.031,0.022,0.016,0.014,0.028
동작구,111241,0.016,0.027,0.03,0.045,0.05,0.037,0.039,0.034,0.033,0.024,0.019,0.014,0.031
관악구,111251,0.015,0.022,0.028,0.043,0.049,0.035,0.034,0.027,0.027,0.02,0.015,0.013,0.027
강남구,111261,0.016,0.027,0.028,0.043,0.051,0.038,0.039,0.033,0.032,0.024,0.019,0.016,0.03
금천구,111281,0.016,0.026,0.027,0.044,0.05,0.037,0.039,0.027,0.029,0.024,0.019,0.015,0.029
강동구,111274,0.013,0.023,0.022,0.035,0.044,0.032,0.03,0.026,0.025,0.019,0.015,0.013,0.025
강북구,111291,0.019,0.031,0.032,0.044,0.051,0.037,0.035,0.031,0.033,0.027,0.023,0.018,0.032
성북구,111161,0.016,0.025,0.027,0.04,0.044,0.034,0.037,0.031,0.03,0.023,0.017,0.014,0.028
용산구,111131,0.015,0.026,0.024,0.041,0.052,0.039,0.039,0.032,0.032,0.024,0.018,0.015,0.03
광진구,111141,0.014,0.028,0.029,0.041,0.045,0.034,0.034,0.028,0.026,0.02,0.016,0.014,0.027
성동구,111142,0.014,0.021,0.019,0.04,0.051,0.039,0.038,0.031,0.031,0.023,0.017,0.014,0.028
도봉구,111171,0.019,0.029,0.03,0.042,0.053,0.036,0.034,0.03,0.031,0.025,0.021,0.019,0.031
서대문구,111191,0.016,0.026,0.032,0.047,0.053,0.035,0.036,0.029,0.026,0.021,0.02,0.015,0.029
구로구,111221,0.02,0.025,0.026,0.046,0.049,0.038,0.039,0.033,0.033,0.024,0.017,0.014,0.03
서초구,111262,0.017,0.027,0.028,0.043,0.047,0.036,0.038,0.031,0.026,0.02,0.014,0.013,0.028
강서구,111212,0.017,0.026,0.028,0.043,0.05,0.035,0.041,0.033,0.033,0.024,0.018,0.016,0.03
송파구,111273,0.014,0.024,0.026,0.041,0.045,0.035,0.035,0.029,0.03,0.02,0.015,0.013,0.027
양천구,111301,0.014,0.023,0.026,0.041,0.047,0.032,0.036,0.029,0.03,0.021,0.015,0.013,0.027
노원구,111311,0.018,0.027,0.029,0.044,0.051,0.036,0.038,0.031,0.031,0.022,0.017,0.016,0.03
한강대로,111122,0.012,0.02,0.021,0.03,0.029,0.02,0.021,0.017,0.024,0.02,0.016,0.014,0.02
청계천로,111124,0.015,0.026,0.027,0.038,0.042,0.03,0.031,0.026,0.027,0.02,0.014,0.013,0.026
종로,111125,0.014,0.025,0.024,0.036,0.039,0.027,0.029,0.024,0.024,0.019,0.016,0.015,0.024
홍릉로,111154,0.013,0.022,0.023,0.034,0.04,0.031,0.033,0.026,0.026,0.018,0.012,0.011,0.024
신촌로,111202,0.011,0.019,0.021,0.035,0.038,0.028,0.03,0.023,0.024,0.017,0.012,0.01,0.022
영등포로,111232,0.012,0.021,0.022,0.034,0.038,0.027,0.028,0.023,0.025,0.018,0.013,0.012,0.023
도산대로,111263,0.014,0.024,0.025,0.04,0.043,0.031,0.031,0.027,0.026,0.019,0.014,0.011,0.025
천호대로,111275,0.01,0.019,0.02,0.035,0.041,0.029,0.029,0.023,0.02,0.015,0.011,0.01,0.022
강남대로,111264,0.011,0.019,0.019,0.03,0.034,0.025,0.023,0.021,0.018,0.013,0.01,0.009,0.019
강변북로,111143,0.011,0.02,0.02,0.031,0.032,0.025,0.022,0.019,0.022,0.017,0.012,0.012,0.02
화랑로,111312,0.011,0.021,0.021,0.034,0.041,0.029,0.029,0.024,0.019,0.014,0.011,0.011,0.022
공항대로,111213,0.012,0.021,0.021,0.035,0.042,0.031,0.033,0.025,0.026,0.019,0.013,0.012,0.024
동작대로,111242,0.011,0.022,0.023,0.035,0.041,0.03,0.031,0.026,0.024,0.018,0.014,0.013,0.024
정릉로,111162,0.011,0.019,0.02,0.032,0.038,0.028,0.029,0.023,0.022,0.016,0.012,0.011,0.022
시흥대로,111282,0.013,0.022,0.022,0.032,0.039,0.025,0.027,0.023,0.02,0.016,0.012,0.011,0.022
